ZIP,Total_Population,PM2.5,PM2.5_Pctl,Asthma,Asthma_Pctl,Cardiovascular_Disease,Cardiovascular_Disease_Pctl,Deaths_By_Stroke,Stroke_Pctl,Heart_Disease,Heart_Disease_Pctl
90038,3508.75,12.63,88.15,46.1,50.42,7.48,43.67,7.0,39.11,26.0,36.66
90039,3595.14,12.65,87.8,58.41,66.94,8.73,59.71,13.0,61.23,49.0,59.65
90040,4225.5,12.05,81.66,56.37,64.59,10.16,76.04,6.0,34.89,17.0,26.71
90041,3951.25,11.84,75.4,37.81,37.82,6.17,27.0,10.0,50.41,50.0,60.51
90042,3415.38,11.97,78.68,47.68,52.58,7.69,46.68,16.0,71.48,71.0,77.69
90043,3975.08,12.08,81.85,109.24,93.9,8.23,53.29,30.0,95.1,116.0,95.93
90044,4137.15,12.1,81.93,93.24,88.8,9.96,71.15,21.0,82.86,142.0,98.83
90045,3538.82,12.05,81.66,36.4,35.84,7.79,47.86,14.0,65.0,66.0,73.47
90046,3569.08,12.05,81.66,24.87,16.44,7.53,44.63,21.0,82.86,101.0,92.31
90047,4343.0,12.05,81.66,124.14,96.18,10.04,73.56,19.0,78.79,134.0,98.08
90048,2919.86,12.05,81.66,28.9,22.93,7.2,39.66,10.0,50.41,54.0,63.49
90049,2924.75,11.7,72.83,13.46,2.35,4.59,9.23,13.0,61.23,83.0,84.63
90056,6247.0,12.05,81.66,37.58,37.78,5.86,22.04,8.0,42.65,22.0,32.67
90057,3816.09,12.89,92.89,47.57,51.92,6.15,27.6,13.0,61.23,74.0,79.65
90058,2967.67,12.61,86.96,78.58,82.51,10.15,74.72,0.0,4.82,4.0,9.98
90059,4329.89,12.05,81.66,85.99,85.77,9.83,70.33,12.0,57.61,53.0,62.58
90061,4118.0,12.05,81.66,88.56,88.46,11.17,82.53,11.0,54.3,57.0,66.28
90062,5272.8,12.72,89.33,91.5,88.02,10.81,76.82,8.0,42.65,57.0,66.28
90063,3840.44,12.78,90.67,47.82,52.85,9.34,65.22,26.0,91.26,71.0,77.69
90064,3542.14,12.05,81.66,20.9,9.71,6.27,28.01,15.0,68.43,54.0,63.49
90065,3434.57,12.56,87.3,62.72,70.55,7.21,40.33,19.0,78.79,67.0,74.27
90066,3493.27,12.05,81.66,30.79,26.23,6.04,25.38,23.0,86.81,85.0,85.8
90067,2428.0,12.05,81.66,8.87,0.41,2.76,0.39,2.0,19.29,16.0,25.47
90068,3489.0,12.29,83.93,21.96,11.61,6.14,26.48,8.0,42.65,38.0,47.78
90069,3984.0,12.05,81.66,19.69,8.72,4.16,6.42,7.0,39.11,45.0,55.84
90071,2589.0,12.89,92.89,45.11,49.59,3.6,2.48,,,,
90077,4200.67,11.63,69.14,9.21,0.57,3.99,5.81,4.0,27.13,16.0,25.47
90094,6470.0,12.05,81.66,14.32,2.64,4.06,5.05,2.0,19.29,8.0,16.69
90201,4591.77,12.05,81.66,45.72,50.31,9.55,69.32,21.0,82.86,84.0,85.23
90210,4198.0,11.91,77.49,16.43,4.49,5.45,17.35,18.0,76.22,54.0,63.49
90211,4069.0,12.05,81.66,22.35,11.46,4.77,10.47,5.0,30.78,17.0,26.71
90212,5974.0,12.05,81.66,17.73,5.68,5.28,15.21,3.0,23.66,22.0,32.67
90220,4315.0,12.01,80.62,103.68,93.22,12.01,88.09,18.0,76.22,96.0,90.62
90221,4636.82,12.05,81.66,84.67,87.12,13.1,92.95,15.0,68.43,63.0,70.8
90222,5142.17,12.05,81.66,94.79,90.03,11.3,83.38,25.0,89.9,50.0,60.51
90230,3805.0,12.05,81.66,38.69,39.59,7.3,41.28,10.0,50.41,61.0,69.25
90232,4604.75,12.05,81.66,33.53,31.22,6.96,36.67,5.0,30.78,29.0,39.64
90240,6145.0,12.05,81.66,33.44,30.84,7.87,48.82,9.0,46.16,41.0,51.73
90241,4927.25,12.05,81.66,41.98,44.38,8.23,52.59,15.0,68.43,56.0,65.18
90242,4777.4,12.05,81.66,47.98,52.99,8.52,56.75,14.0,65.0,60.0,68.24
90245,2775.67,12.05,81.66,21.8,15.11,6.01,33.34,7.0,39.11,30.0,40.73
90247,4055.7,12.05,81.66,73.05,80.3,9.37,67.29,22.0,84.82,82.0,84.1
90248,2466.8,12.05,81.66,62.16,70.41,8.88,60.31,9.0,46.16,17.0,26.71
90249,4763.0,12.05,81.66,79.5,83.63,9.69,69.59,15.0,68.43,47.0,57.54
90250,5034.8,12.05,81.66,73.1,79.77,9.9,72.3,33.0,96.72,146.0,98.98
90254,3901.2,12.05,81.66,12.91,1.87,5.26,15.78,6.0,34.89,15.0,24.6
90255,3367.0,12.07,81.77,55.5,63.37,10.28,75.91,16.0,71.48,76.0,81.16
90260,5461.5,12.05,81.66,63.22,72.0,8.95,62.36,15.0,68.43,47.0,57.54
90262,6211.73,12.05,81.66,49.67,55.8,9.35,66.47,22.0,84.82,61.0,69.25
90265,3792.8,10.12,46.75,9.02,0.67,3.47,4.63,9.0,46.16,26.0,36.66
90266,4391.88,12.05,81.66,15.91,4.06,4.85,11.28,16.0,71.48,44.0,54.79
90270,3913.57,12.11,81.99,43.32,46.99,9.55,68.78,7.0,39.11,22.0,32.67
90272,3496.57,11.15,64.55,11.42,1.35,5.24,16.38,11.0,54.3,29.0,39.64
90274,3378.14,11.93,78.08,16.04,4.66,4.72,11.57,9.0,46.16,60.0,68.24
90275,4873.67,11.82,76.84,11.57,1.32,3.95,4.53,36.0,98.15,101.0,92.31
90277,4725.86,12.05,81.66,23.89,14.1,6.5,30.61,14.0,65.0,65.0,72.49
90278,5540.14,12.05,81.66,29.02,23.22,5.81,22.07,13.0,61.23,50.0,60.51
90280,4607.9,12.05,81.66,42.53,45.52,10.7,77.87,22.0,84.82,64.0,71.55
90290,7078.0,10.37,52.61,10.37,0.87,4.01,4.65,1.0,13.11,9.0,18.12
90291,3134.11,12.05,81.66,31.45,27.42,7.31,41.47,10.0,50.41,34.0,44.08
90292,5599.0,12.05,81.66,27.71,20.96,5.86,23.02,1.0,13.11,36.0,45.78
90293,4082.67,12.05,81.66,21.4,9.83,5.67,19.86,7.0,39.11,27.0,37.72
90301,4648.62,12.05,81.66,85.15,86.84,11.23,82.14,9.0,46.16,71.0,77.69
90302,4854.83,12.05,81.66,94.43,90.74,7.89,49.24,10.0,50.41,41.0,51.73
90303,3540.0,12.05,81.66,98.38,91.97,11.46,85.1,7.0,39.11,39.0,49.36
90304,4386.83,12.05,81.66,64.72,73.51,10.33,76.22,8.0,42.65,22.0,32.67
90305,2983.6,12.05,81.66,105.24,93.61,8.18,52.96,7.0,39.11,44.0,54.79
90401,4016.0,12.05,81.66,76.95,83.01,6.83,34.96,2.0,19.29,28.0,38.73
90402,5403.5,11.63,69.14,9.7,0.6,3.99,4.57,9.0,46.16,21.0,31.12
90403,4759.8,12.05,81.66,25.26,16.61,5.46,18.11,15.0,68.43,50.0,60.51
90404,4085.0,12.05,81.66,53.02,59.75,5.99,24.32,8.0,42.65,39.0,49.36
90405,5320.8,12.05,81.66,31.72,28.02,5.83,21.73,11.0,54.3,53.0,62.58
90501,5384.12,11.94,78.53,50.41,57.78,6.08,32.0,12.0,57.61,70.0,76.79
90502,6003.0,11.77,73.31,42.52,45.32,6.89,35.97,12.0,57.61,43.0,53.65
90503,4530.8,12.05,81.66,25.85,17.56,5.85,22.34,24.0,88.47,98.0,91.48
90504,4797.43,12.05,81.66,45.99,50.8,7.19,39.81,11.0,54.3,64.0,71.55
90505,4784.38,12.05,81.66,26.1,18.1,6.19,26.53,24.0,88.47,79.0,82.78
90506,5087.0,12.05,81.66,74.07,81.37,9.64,70.91,0.0,4.82,0.0,1.51
90601,4583.0,12.05,81.66,60.21,68.41,11.4,83.06,11.0,54.3,59.0,67.48
90602,3442.8,12.05,81.66,72.02,79.11,14.04,94.97,11.0,54.3,48.0,58.67
90603,4732.0,11.77,73.31,48.47,54.16,12.45,89.7,9.0,46.16,57.0,66.28
90604,4715.78,11.77,75.45,57.84,65.94,12.37,89.02,17.0,74.04,61.0,69.25
90605,4535.88,12.05,81.66,55.24,62.4,10.44,76.15,13.0,61.23,46.0,56.59
90606,4710.83,12.05,81.66,65.72,74.59,14.79,96.78,15.0,68.43,51.0,61.34
90620,6031.0,11.21,66.23,43.44,46.5,8.58,57.33,22.0,84.82,97.0,91.07
90621,6273.0,11.21,66.23,54.08,61.52,7.9,49.41,13.0,61.23,45.0,55.84
90623,4718.0,11.21,66.23,24.82,15.63,6.16,25.88,8.0,42.65,23.0,34.02
90630,4704.0,11.21,66.23,29.57,24.33,8.44,55.92,21.0,82.86,75.0,80.6
90631,4701.08,11.27,66.68,50.71,57.04,9.26,66.23,35.0,97.55,113.0,95.21
90638,4852.7,11.38,67.39,35.75,34.68,9.6,67.86,23.0,86.81,102.0,92.8
90640,4292.93,12.05,81.66,48.65,54.06,9.74,69.76,29.0,94.27,130.0,97.78
90650,5062.71,11.87,76.75,57.88,65.98,12.36,88.22,44.0,99.89,165.0,99.55
90660,4941.08,12.05,81.66,62.37,71.71,13.58,94.69,25.0,89.9,118.0,96.42
90670,3717.4,11.97,79.16,49.92,55.41,10.24,74.07,6.0,34.89,38.0,47.78
90680,5433.0,11.21,66.23,40.14,41.72,6.56,31.54,14.0,65.0,42.0,52.83
90701,5507.33,11.21,66.23,34.37,32.43,8.99,63.04,4.0,27.13,41.0,51.73
90703,4458.27,11.25,66.49,37.94,38.18,8.08,51.29,22.0,84.82,73.0,78.86
90704,2048.0,5.6,33.12,49.39,55.37,6.76,34.06,0.0,4.82,10.0,19.82
90706,4256.44,11.98,79.57,73.32,79.56,10.39,76.29,27.0,92.39,115.0,95.67
90710,3427.12,11.26,66.59,44.0,47.52,7.81,47.53,11.0,54.3,44.0,54.79
90712,4410.29,11.33,67.06,50.15,56.4,8.14,52.43,12.0,57.61,61.0,69.25
90713,4654.0,11.28,66.72,39.06,40.35,9.22,65.55,16.0,71.48,55.0,64.36
90715,4875.6,11.21,66.23,63.61,68.17,9.62,64.2,7.0,39.11,38.0,47.78
90716,5189.5,11.21,66.23,53.1,60.32,8.57,57.7,6.0,34.89,17.0,26.71
90717,4939.75,11.63,69.14,42.02,44.54,6.19,26.67,8.0,42.65,50.0,60.51
90720,3645.71,11.21,66.23,25.28,16.91,5.94,24.07,11.0,54.3,51.0,61.34
90723,4918.0,12.05,81.66,54.12,61.09,10.03,72.62,24.0,88.47,55.0,64.36
