Year,zipCode,causeOfDeath,Count
2016,91214,STK,13
2016,91216,STK,0
2016,91222,STK,0
2016,91234,STK,0
2016,91235,STK,0
2016,91237,STK,0
2016,91252,STK,0
2016,91256,STK,0
2016,91274,STK,0
2016,91301,STK,12
2016,91302,STK,7
2016,91303,STK,7
2016,91304,STK,19
2016,91305,STK,0
2016,91306,STK,12
2016,91307,STK,10
2016,91308,STK,0
2016,91309,STK,0
2016,91310,STK,0
2016,91311,STK,19
2016,91314,STK,0
2016,91316,STK,10
2016,91320,STK,14
2016,91321,STK,13
2016,91322,STK,0
2016,91324,STK,10
2016,91325,STK,14
2016,91326,STK,12
2016,91328,STK,0
2016,91331,STK,33
2016,91334,STK,0
2016,91335,STK,42
2016,91336,STK,0
2016,91340,STK,7
2016,91341,STK,1
2016,91342,STK,24
2016,91343,STK,24
2016,91344,STK,26
2016,91345,STK,11
2016,91346,STK,0
2016,91350,STK,7
2016,91351,STK,9
2016,91352,STK,18
2016,91353,STK,0
2016,91354,STK,4
2016,91355,STK,11
2016,91356,STK,13
2016,91357,STK,0
2016,91360,STK,29
2016,91361,STK,14
2016,91362,STK,12
2016,91363,STK,0
2016,91364,STK,18
2016,91365,STK,0
2016,91366,STK,0
2016,91367,STK,13
2016,91371,STK,0
2016,91376,STK,0
2016,91377,STK,5
2016,91380,STK,0
2016,91381,STK,4
2016,91384,STK,10
2016,91385,STK,0
2016,91386,STK,0
2016,91387,STK,9
2016,91390,STK,6
2016,91392,STK,0
2016,91396,STK,0
2016,91397,STK,0
2016,91401,STK,14
2016,91402,STK,23
2016,91403,STK,11
2016,91405,STK,10
2016,91406,STK,8
2016,91411,STK,11
2016,91413,STK,0
2016,91415,STK,0
2016,91423,STK,6
2016,91434,STK,0
2016,91436,STK,1
2016,91456,STK,0
2016,91460,STK,0
2016,91463,STK,0
2016,91495,STK,0
2016,91501,STK,12
2016,91502,STK,5
2016,91504,STK,9
2016,91505,STK,9
2016,91506,STK,13
2016,91507,STK,0
2016,91510,STK,0
2016,91550,STK,0
2016,91570,STK,0
2016,91577,STK,0
2016,91600,STK,0
2016,91601,STK,12
2016,91602,STK,3
2016,91603,STK,0
2016,91604,STK,13
2016,91605,STK,21
2016,91606,STK,23
2016,91607,STK,13
2016,91608,STK,0
2016,91609,STK,1
2016,91610,STK,1
2016,91620,STK,0
2016,91654,STK,0
2016,91660,STK,1
2016,91701,STK,21
2016,91702,STK,8
2016,91703,STK,0
2016,91704,STK,0
2016,91705,STK,1
2016,91706,STK,26
2016,91707,STK,0
2016,91708,STK,1
2016,91709,STK,16
2016,91710,STK,32
2016,91711,STK,22
2016,91712,STK,0
2016,91714,STK,0
2016,91716,STK,0
2016,91720,STK,1
2016,91722,STK,12
2016,91723,STK,10
2016,91724,STK,12
2016,91729,STK,0
2016,91730,STK,17
2016,91731,STK,8
2016,91732,STK,14
2016,91733,STK,12
2016,91734,STK,0
2016,91735,STK,0
2016,91736,STK,0
2016,91737,STK,3
2016,91739,STK,11
2016,91740,STK,15
2016,91741,STK,10
2016,91744,STK,26
2016,91745,STK,23
2016,91746,STK,9
2016,91748,STK,15
2016,91750,STK,17
2016,91751,STK,0
2016,91752,STK,5
2016,91754,STK,31
2016,91755,STK,15
2016,91756,STK,0
2016,91759,STK,0
2016,91760,STK,1
2016,91761,STK,13
2016,91762,STK,16
2016,91763,STK,8
2016,91764,STK,17
2016,91765,STK,13
2016,91766,STK,22
2016,91767,STK,16
2016,91768,STK,12
2016,91770,STK,25
2016,91772,STK,0
2016,91773,STK,11
2016,91774,STK,0
2016,91775,STK,6
2016,91776,STK,12
2016,91778,STK,0
2016,91779,STK,0
2016,91780,STK,20
2016,91784,STK,13
2016,91785,STK,0
2016,91786,STK,15
2016,91788,STK,0
2016,91789,STK,21
2016,91790,STK,19
2016,91791,STK,23
2016,91792,STK,15
2016,91798,STK,0
2016,91801,STK,29
2016,91802,STK,0
2016,91803,STK,11
2016,91809,STK,0
2016,91814,STK,0
2016,91860,STK,0
2016,91901,STK,10
2016,91902,STK,15
2016,91905,STK,2
2016,91906,STK,2
2016,91909,STK,0
2016,91910,STK,41
2016,91911,STK,40
2016,91913,STK,6
2016,91914,STK,6
2016,91915,STK,4
2016,91916,STK,1
2016,91917,STK,1
2016,91922,STK,0
2016,91923,STK,0
2016,91928,STK,0
2016,91931,STK,1
2016,91932,STK,9
2016,91934,STK,0
2016,91935,STK,5
2016,91941,STK,23
2016,91942,STK,29
2016,91945,STK,16
2016,91948,STK,0
2016,91950,STK,42
2016,91954,STK,0
2016,91962,STK,0
2016,91963,STK,0
2016,91971,STK,0
2016,91974,STK,0
2016,91977,STK,26
2016,91978,STK,4
2016,91980,STK,1
2016,92003,STK,4
2016,92004,STK,1
2016,92007,STK,2
2016,92008,STK,18
2016,92009,STK,25
2016,92010,STK,10
2016,92011,STK,9
2016,92013,STK,0
2016,92014,STK,6
2016,92015,STK,0
2016,92016,STK,0
2016,92017,STK,0
2016,92018,STK,0
2016,92019,STK,25
2016,92020,STK,35
2016,92021,STK,34
2016,92022,STK,0
2016,92024,STK,26
2016,92025,STK,20
2016,92026,STK,24
2016,92027,STK,27
2016,92028,STK,29
2016,92029,STK,11
2016,92031,STK,0
2016,92036,STK,2
2016,92037,STK,20
2016,92040,STK,16
2016,92041,STK,1
2016,92045,STK,0
2016,92049,STK,0
2016,92051,STK,0
2016,92053,STK,0
2016,92054,STK,16
2016,92055,STK,0
2016,92056,STK,34
2016,92057,STK,25
2016,92058,STK,9
2016,92059,STK,3
2016,92060,STK,0
2016,92061,STK,2
2016,92064,STK,20
2016,92065,STK,3
2016,92066,STK,0
2016,92067,STK,6
2016,92069,STK,8
2016,92070,STK,0
2016,92071,STK,24
2016,92073,STK,0
2016,92074,STK,1
2016,92075,STK,4
2016,92076,STK,0
2016,92077,STK,0
2016,92078,STK,28
2016,92079,STK,0
2016,92081,STK,6
2016,92082,STK,11
2016,92083,STK,18
2016,92084,STK,24
2016,92085,STK,0
2016,92086,STK,0
2016,92089,STK,0
2016,92091,STK,2
2016,92092,STK,0
2016,92100,STK,0
2016,92101,STK,19
2016,92102,STK,10
2016,92103,STK,10
2016,92104,STK,10
2016,92105,STK,39
2016,92106,STK,10
2016,92107,STK,6
2016,92108,STK,6
2016,92109,STK,17
2016,92110,STK,11
2016,92111,STK,21
2016,92112,STK,1
2016,92113,STK,14
2016,92114,STK,32
2016,92115,STK,16
2016,92116,STK,8
2016,92117,STK,35
2016,92118,STK,14
2016,92119,STK,12
2016,92120,STK,20
2016,92121,STK,1
2016,92122,STK,20
2016,92123,STK,14
2016,92124,STK,6
2016,92126,STK,26
2016,92127,STK,15
2016,92128,STK,28
2016,92129,STK,10
2016,92130,STK,8
2016,92131,STK,8
2016,92134,STK,0
2016,92135,STK,0
2016,92136,STK,0
2016,92137,STK,0
2016,92139,STK,17
2016,92141,STK,0
2016,92143,STK,0
2016,92144,STK,0
2016,92150,STK,0
2016,92151,STK,0
2016,92152,STK,0
2016,92154,STK,30
2016,92155,STK,0
2016,92160,STK,0
2016,92161,STK,0
2016,92168,STK,0
2016,92169,STK,1
2016,92173,STK,7
2016,92179,STK,0
2016,92192,STK,0
2016,92200,STK,0
2016,92201,STK,23
2016,92203,STK,5
2016,92206,STK,0
2016,92210,STK,7
